date,nav,return_1y,return_3y,return_5y,daily_return,risk_1y
2013-01-01,246.413,,,,,
2013-01-02,248.167,,,,0.7118130942766809,
2013-01-03,248.809,,,,0.2586967646786231,
2013-01-04,249.259,,,,0.18086162478045953,
2013-01-07,249.252,,,,-0.002808323871950069,
2013-01-08,248.904,,,,-0.1396177362669171,
2013-01-09,248.761,,,,-0.05745186899366317,
2013-01-10,248.237,,,,-0.21064395142325054,
2013-01-11,247.737,,,,-0.20142041677913003,
2013-01-14,250.415,,,,1.0809850769162521,
2013-01-15,251.795,,,,0.5510851985703669,
2013-01-16,248.842,,,,-1.1727794435949734,
2013-01-17,250.314,,,,0.5915400133417847,
2013-01-18,251.635,,,,0.5277371621243754,
2013-01-21,252.298,,,,0.2634768613269278,
2013-01-22,249.965,,,,-0.9247001561645374,
2013-01-23,249.029,,,,-0.37445242333926654,
2013-01-24,245.51,,,,-1.4130884354834228,
2013-01-25,248.082,,,,1.047615168424909,
2013-01-28,248.085,,,,0.001209277577585155,
2013-01-29,246.872,,,,-0.4889453211600836,
2013-01-30,245.918,,,,-0.38643507566674673,
2013-01-31,246.464,,,,0.22202522792149626,
2013-02-01,245.578,,,,-0.35948454946767017,
2013-02-04,244.116,,,,-0.5953302005879957,
2013-02-05,242.639,,,,-0.6050402267774313,
2013-02-06,242.611,,,,-0.011539777199875978,
2013-02-07,240.645,,,,-0.8103507260594056,
2013-02-08,239.062,,,,-0.6578154542999037,
2013-02-11,238.958,,,,-0.04350335896128321,
2013-02-12,239.361,,,,0.16864888390428767,
2013-02-13,239.171,,,,-0.07937801061994598,
2013-02-14,236.884,,,,-0.9562196085645902,
2013-02-15,236.096,,,,-0.33265226862092545,
2013-02-18,236.849,,,,0.3189380590945978,
2013-02-19,238.506,,,,0.6996018560348594,
2013-02-20,237.715,,,,-0.33164784114445567,
2013-02-21,234.375,,,,-1.4050438550364919,
2013-02-22,234.7,,,,0.13866666666666472,
2013-02-25,234.214,,,,-0.20707285896889305,
2013-02-26,231.667,,,,-1.0874670173431134,
2013-02-27,233.236,,,,0.6772652125680345,
2013-02-28,228.547,,,,-2.0104100567665317,
2013-03-01,229.84,,,,0.5657479643136787,
2013-03-04,228.982,,,,-0.37330316742081315,
2013-03-05,232.152,,,,1.384388292529537,
2013-03-06,234.628,,,,1.0665426100141318,
2013-03-07,235.843,,,,0.5178410078933382,
2013-03-08,238.095,,,,0.9548725211263376,
2013-03-11,238.0,,,,-0.03990003990004265,
2013-03-12,236.695,,,,-0.5483193277310949,
2013-03-13,233.768,,,,-1.2366125182196486,
2013-03-14,236.201,,,,1.0407754696964533,
2013-03-15,235.05,,,,-0.48729683616918207,
2013-03-18,233.794,,,,-0.5343543926824124,
2013-03-19,229.626,,,,-1.7827660247910604,
2013-03-20,226.13,,,,-1.5224756778413617,
2013-03-21,224.615,,,,-0.6699686021315099,
2013-03-22,224.159,,,,-0.20301404625693298,
2013-03-25,223.106,,,,-0.4697558429507587,
2013-03-26,223.345,,,,0.10712396797933899,
2013-03-28,225.695,,,,1.0521838411426288,
2013-04-01,226.849,,,,0.5113095106227483,
2013-04-02,229.406,,,,1.12718151722071,
2013-04-03,227.001,,,,-1.0483596767303371,
2013-04-04,223.752,,,,-1.4312712278800488,
2013-04-05,223.986,,,,0.10458007079265919,
2013-04-08,223.155,,,,-0.3710053306903105,
2013-04-09,221.329,,,,-0.8182653312719834,
2013-04-10,223.36,,,,0.9176384477406874,
2013-04-11,224.834,,,,0.659921203438385,
2013-04-12,220.647,,,,-1.8622628250175688,
2013-04-15,221.784,,,,0.5153027233544938,
2013-04-16,224.667,,,,1.299913429282551,
2013-04-17,225.363,,,,0.3097918252346732,
2013-04-18,228.423,,,,1.3578094008333208,
2013-04-22,230.469,,,,0.8957066495055122,
2013-04-23,229.422,,,,-0.45429103263345816,
2013-04-25,230.797,,,,0.5993322349207908,
2013-04-26,229.387,,,,-0.6109264851796192,
2013-04-29,230.482,,,,0.4773592226237744,
2013-04-30,231.526,,,,0.4529637889292948,
2013-05-02,233.245,,,,0.7424652090909811,
2013-05-03,230.526,,,,-1.1657270252309782,
2013-05-06,232.149,,,,0.7040420603315889,
2013-05-07,233.748,,,,0.6887817737746049,
2013-05-08,233.504,,,,-0.10438591987952384,
2013-05-09,233.59,,,,0.03683020419351646,
2013-05-10,235.033,,,,0.6177490474763347,
2013-05-13,230.788,,,,-1.8061293520484245,
2013-05-14,232.064,,,,0.552888365079629,
2013-05-15,237.179,,,,2.2041333425262044,
2013-05-16,238.645,,,,0.6180985669051786,
2013-05-17,239.479,,,,0.3494730666890211,
2013-05-20,238.673,,,,-0.3365639575912738,
2013-05-21,237.105,,,,-0.6569658067732909,
2013-05-22,235.545,,,,-0.6579363573100516,
2013-05-23,229.981,,,,-2.362181324163104,
2013-05-24,230.785,,,,0.3495940969036493,
2013-05-27,233.093,,,,1.000064995558625,
2013-05-28,234.177,,,,0.4650504305148573,
2013-05-29,233.249,,,,-0.39628144523159436,
2013-05-30,232.964,,,,-0.12218701902259044,
2013-05-31,230.93,,,,-0.8730962723854319,
2013-06-03,231.2,,,,0.11691854674575897,
2013-06-04,230.975,,,,-0.09731833910033849,
2013-06-05,230.269,,,,-0.3056607857993221,
2013-06-06,230.811,,,,0.23537688529502443,
2013-06-07,229.96,,,,-0.36869993197897744,
2013-06-10,229.115,,,,-0.36745520960167477,
2013-06-11,225.573,,,,-1.5459485411256413,
2013-06-12,224.596,,,,-0.4331192119624294,
2013-06-13,221.607,,,,-1.330834030882122,
2013-06-14,225.071,,,,1.563127518535068,
2013-06-17,225.944,,,,0.38787760306746577,
2013-06-18,225.944,,,,0.0,
2013-06-19,226.108,,,,0.07258435718586753,
2013-06-20,220.791,,,,-2.3515311267182093,
2013-06-21,219.903,,,,-0.4021903066701138,
2013-06-24,215.507,,,,-1.9990632233302774,
2013-06-25,214.428,,,,-0.5006797923037376,
2013-06-26,214.575,,,,0.06855447982538898,
2013-06-27,216.593,,,,0.9404637073284317,
2013-06-28,221.71,,,,2.362495556181421,
2013-07-01,224.422,,,,1.2232195209958885,
2013-07-02,223.391,,,,-0.4594023758811572,
2013-07-03,218.924,,,,-1.9996329306014915,
2013-07-04,221.022,,,,0.9583234364436866,
2013-07-05,220.856,,,,-0.07510564559184418,
2013-07-08,219.168,,,,-0.7642989096968145,
2013-07-09,220.482,,,,0.5995400788436189,
2013-07-10,219.03,,,,-0.6585571611288032,
2013-07-11,221.792,,,,1.2610144729032546,
2013-07-12,225.875,,,,1.840914009522443,
2013-07-15,227.19,,,,0.5821804095185401,
2013-07-16,223.294,,,,-1.714864210572642,
2013-07-17,222.111,,,,-0.5297947996811492,
2013-07-18,224.182,,,,0.9324166745455997,
