date,nav,return_1y,return_3y,return_5y,daily_return,risk_1y
2010-06-29,10.0009,,,,,
2010-06-30,10.0027,,,,0.017998380145800574,
2010-07-02,10.0061,,,,0.033990822477925065,
2010-07-05,10.0114,,,,0.05296768970928234,
2010-07-06,10.0131,,,,0.016980642068031848,
2010-07-07,10.0149,,,,0.017976450849399583,
2010-07-08,10.0166,,,,0.01697470768553533,
2010-07-09,10.0208,,,,0.041930395543388066,
2010-07-12,10.0259,,,,0.05089414018841776,
2010-07-13,10.0276,,,,0.016956083743102646,
2010-07-14,10.0293,,,,0.0169532091427671,
2010-07-15,10.0312,,,,0.018944492636574495,
2010-07-16,10.0329,,,,0.01694712497009032,
2010-07-19,10.0381,,,,0.051829481007481526,
2010-07-20,10.0398,,,,0.016935475837054348,
2010-07-21,10.0415,,,,0.01693260821928888,
2010-07-22,10.0433,,,,0.017925608723801112,
2010-07-23,10.045,,,,0.01692670735713442,
2010-07-26,10.0503,,,,0.05276256844202187,
2010-07-27,10.0521,,,,0.017909913136904265,
2010-07-28,10.0538,,,,0.01691188905801333,
2010-07-29,10.0556,,,,0.01790367821121741,
2010-07-30,10.0573,,,,0.016906002625405314,
2010-08-02,10.0626,,,,0.05269804022949298,
2010-08-03,10.0644,,,,0.017888020988610087,
2010-08-04,10.0661,,,,0.016891220539738683,
2010-08-05,10.0679,,,,0.017881801293451183,
2010-08-06,10.0696,,,,0.01688534848378609,
2010-08-09,10.0749,,,,0.05263366965917449,
2010-08-10,10.0767,,,,0.017866182294623556,
2010-08-11,10.0784,,,,0.01687060247899108,
2010-08-12,10.0802,,,,0.0178599777742372,
2010-08-13,10.081,,,,0.007936350469228692,
2010-08-16,10.0868,,,,0.057533974804102606,
2010-08-17,10.0886,,,,0.017845104492986152,
2010-08-18,10.0903,,,,0.016850702773418824,
2010-08-20,10.0939,,,,0.03567782920230744,
2010-08-23,10.0991,,,,0.05151626229702444,
2010-08-24,10.1009,,,,0.01782337039932802,
2010-08-25,10.1026,,,,0.01683018344902365,
2010-08-26,10.1043,,,,0.016827351374892885,
2010-08-27,10.1061,,,,0.017814197915733132,
2010-08-30,10.1113,,,,0.051454072292966835,
2010-08-31,10.1131,,,,0.017801865239874815,
2010-09-01,10.1148,,,,0.016809880254342602,
2010-09-02,10.1162,,,,0.013841104124634462,
2010-09-03,10.1184,,,,0.02174729641564177,
2010-09-06,10.1234,,,,0.04941492726122654,
2010-09-07,10.1254,,,,0.019756208388499452,
2010-09-08,10.127,,,,0.01580184486538183,
2010-09-09,10.1291,,,,0.020736644613394972,
2010-09-13,10.1365,,,,0.07305683624410086,
2010-09-14,10.1384,,,,0.018744142455484614,
2010-09-15,10.1398,,,,0.013808885031152407,
2010-09-16,10.1417,,,,0.018738042170474145,
2010-09-17,10.1435,,,,0.01774850370253045,
2010-09-20,10.1493,,,,0.057179474540358655,
2010-09-21,10.1501,,,,0.007882317007079642,
2010-09-22,10.1526,,,,0.024630299208872053,
2010-09-23,10.1544,,,,0.017729448614156595,
2010-09-24,10.1563,,,,0.018711100606627618,
2010-09-27,10.1616,,,,0.0521843584770032,
2010-09-28,10.1635,,,,0.018697842859394243,
2010-09-29,10.1654,,,,0.018694347419678792,
2010-10-01,10.1693,,,,0.038365435693621386,
2010-10-04,10.1753,,,,0.059001111187595434,
2010-10-05,10.1774,,,,0.020638212141177448,
2010-10-06,10.1793,,,,0.018668815218014778,
2010-10-07,10.1813,,,,0.01964771644415997,
2010-10-08,10.1833,,,,0.019643856874851373,
2010-10-11,10.1893,,,,0.058919996464812385,
2010-10-12,10.1913,,,,0.019628433749141472,
2010-10-13,10.1933,,,,0.019624581751109815,
2010-10-14,10.1953,,,,0.019620731264646807,
2010-10-15,10.1973,,,,0.019616882288908677,
2010-10-18,10.2032,,,,0.05785845272767709,
2010-10-19,10.2052,,,,0.01960169358632413,
2010-10-20,10.2072,,,,0.019597852075414757,
2010-10-21,10.2092,,,,0.01959401206990119,
2010-10-22,10.211,,,,0.017631156212050136,
2010-10-25,10.2166,,,,0.05484281657035517,
2010-10-26,10.2186,,,,0.019575984182607087,
2010-10-27,10.2207,,,,0.020550760378146293,
2010-10-28,10.2227,,,,0.019568131341296535,
2010-10-29,10.2247,,,,0.019564302972807646,
2010-11-01,10.2308,,,,0.059659452111060496,
2010-11-02,10.2328,,,,0.019548813387015862,
2010-11-03,10.2349,,,,0.020522242201548302,
2010-11-04,10.2369,,,,0.019540982325194634,
2010-11-08,10.2451,,,,0.08010237474236348,
2010-11-09,10.2471,,,,0.019521527364285696,
2010-11-10,10.2492,,,,0.020493603068194588,
2010-11-11,10.2512,,,,0.019513718143859826,
2010-11-12,10.2532,,,,0.019509911034787386,
2010-11-15,10.2594,,,,0.06046892677407101,
2010-11-16,10.2613,,,,0.018519601536159946,
2010-11-18,10.2653,,,,0.03898141561009538,
2010-11-19,10.2673,,,,0.01948311301180894,
2010-11-22,10.2734,,,,0.05941191939458079,
2010-11-23,10.2754,,,,0.019467751669344224,
2010-11-24,10.2772,,,,0.017517566226143977,
2010-11-25,10.2791,,,,0.01848752578521573,
2010-11-26,10.2807,,,,0.015565565078645704,
2010-11-29,10.2858,,,,0.0496075169978738,
2010-11-30,10.2878,,,,0.019444282408764835,
2010-12-01,10.29,,,,0.021384552576830806,
2010-12-02,10.2921,,,,0.02040816326531747,
2010-12-03,10.2942,,,,0.02040399918383784,
2010-12-06,10.3006,,,,0.06217093120397532,
2010-12-07,10.3027,,,,0.020387161912904794,
2010-12-08,10.3048,,,,0.02038300639639612,
2010-12-09,10.3068,,,,0.0194084310224385,
2010-12-10,10.309,,,,0.02134513136957672,
2010-12-13,10.3154,,,,0.062081676205272274,
2010-12-14,10.3175,,,,0.02035791147216859,
2010-12-15,10.3196,,,,0.02035376787010712,
2010-12-16,10.3217,,,,0.02034962595449663,
2010-12-20,10.3302,,,,0.08235077555054371,
2010-12-21,10.3323,,,,0.020328744845210522,
2010-12-22,10.3343,,,,0.019356774387113695,
2010-12-23,10.3364,,,,0.020320679678342835,
2010-12-24,10.3384,,,,0.01934909639720317,
2010-12-27,10.3444,,,,0.05803605973844217,
2010-12-28,10.3463,,,,0.018367425853593744,
2010-12-29,10.3483,,,,0.01933058194718562,
2010-12-30,10.3503,,,,0.01932684595538081,
2010-12-31,10.3523,,,,0.01932311140739884,
